,name,num_process,num_threads,time,time
,,,,mean,std
0,mandelbrot_ompi,1,1,4189264.4,290260.76590358076
1,mandelbrot_ompi,8,1,2361096.9,542861.9864251257
2,mandelbrot_ompi,16,1,2464435.4,1377582.0241353004
3,mandelbrot_ompi+omp,1,1,5234786.5,1052867.223304086
4,mandelbrot_ompi+omp,1,2,3130738.3,1040306.945818295
5,mandelbrot_ompi+omp,1,4,2801293.2,538512.9520235021
6,mandelbrot_ompi+omp,1,8,2542941.7,49871.726421223204
7,mandelbrot_ompi+omp,1,16,2582658.5,37948.679963134986
8,mandelbrot_ompi+omp,1,32,2966078.0,869950.7408780236
9,mandelbrot_ompi+omp,8,1,2729458.5,953403.1647926926
10,mandelbrot_ompi+omp,8,2,2009815.8,811491.7216585762
11,mandelbrot_ompi+omp,8,4,1959619.3,997255.3764248319
12,mandelbrot_ompi+omp,8,8,1791728.9,872688.9521244669
13,mandelbrot_ompi+omp,8,16,1812023.1,962002.1594650572
14,mandelbrot_ompi+omp,8,32,1565201.3,628861.4195993069
15,mandelbrot_ompi+omp,16,1,2156025.4,979389.8536991964
16,mandelbrot_ompi+omp,16,2,1982739.5,999998.8630787147
17,mandelbrot_ompi+omp,16,4,1739313.8,711327.5641807289
18,mandelbrot_ompi+omp,16,8,1506801.7,202809.4477078587
19,mandelbrot_ompi+omp,16,16,1605483.9,781434.5717828418
20,mandelbrot_ompi+omp,16,32,1663091.8,684998.1154826956
21,mandelbrot_ompi+pth,1,1,4075572.8,19238.277809270337
22,mandelbrot_ompi+pth,1,2,3020518.6,875893.6928340612
23,mandelbrot_ompi+pth,1,4,3130405.1,1013492.992042915
24,mandelbrot_ompi+pth,1,8,2914111.7,782515.5608685007
25,mandelbrot_ompi+pth,1,16,2900901.7,730628.0407290475
26,mandelbrot_ompi+pth,1,32,3076360.8,913615.8616086107
27,mandelbrot_ompi+pth,8,1,2615563.9,866022.871694821
28,mandelbrot_ompi+pth,8,2,2077655.1,1104327.772081022
29,mandelbrot_ompi+pth,8,4,1984966.6,1009409.249584484
30,mandelbrot_ompi+pth,8,8,1870435.9,977403.654606933
31,mandelbrot_ompi+pth,8,16,1836866.2,1018651.4270964987
32,mandelbrot_ompi+pth,8,32,1804725.4,945695.0182754128
33,mandelbrot_ompi+pth,16,1,2085902.2,792847.9098295376
34,mandelbrot_ompi+pth,16,2,2148787.7,901643.7269784372
35,mandelbrot_ompi+pth,16,4,1634362.2,505637.5841599066
36,mandelbrot_ompi+pth,16,8,2092716.2,1105871.2742436565
37,mandelbrot_ompi+pth,16,16,2054489.0,1022949.1716800443
38,mandelbrot_ompi+pth,16,32,1512678.6,205919.92565784723
